,TickerPairA,TickerPairB,TickerPairC,Route
0,BTC-USDT,4ART-BTC,4ART-USDT,0
1,USDT-USD,AAPL-USDT,AAPL-USD,0
2,BTC-USDT,AAPL-BTC,AAPL-USDT,0
3,USDT-USD,AAVE-USDT,AAVE-USD,0
4,USDT-USD,ETH-USDT,ETH-USD,0
5,USD-EUR,USDT-USD,USDT-EUR,0
6,USDT-USD,ADABEAR-USDT,ADABEAR-USD,0
7,USDT-USD,ADA-USDT,ADA-USD,0
8,USDT-USD,ADABULL-USDT,ADABULL-USD,0
9,USDT-USD,ALGO-USDT,ALGO-USD,0
10,USDT-USD,AMZN-USDT,AMZN-USD,0
11,USDT-USD,ATOM-USDT,ATOM-USD,0
12,USDT-USD,BABA-USDT,BABA-USD,0
13,USDT-USD,BAL-USDT,BAL-USD,0
14,USDT-USD,BAND-USDT,BAND-USD,0
15,USDT-USD,BAT-USDT,BAT-USD,0
16,USDT-USD,BCH-USDT,BCH-USD,0
17,USDT-USD,BEAR-USDT,BEAR-USD,0
18,USDT-USD,BILI-USDT,BILI-USD,0
19,USDT-USD,BNTX-USDT,BNTX-USD,0
20,USDT-USD,BSV-USDT,BSV-USD,0
21,USDT-USD,BTC-USDT,BTC-USD,0
22,USDT-USD,BULL-USDT,BULL-USD,0
23,USDT-USD,BYND-USDT,BYND-USD,0
24,USDT-USD,CELO-USDT,CELO-USD,0
25,USDT-USD,COMP-USDT,COMP-USD,0
26,USDT-USD,CRO-USDT,CRO-USD,0
27,USDT-USD,DAI-USDT,DAI-USD,0
28,USDT-USD,DASH-USDT,DASH-USD,0
29,USDT-USD,DCR-USDT,DCR-USD,0
30,USDT-USD,DGB-USDT,DGB-USD,0
31,USDT-USD,DOGE-USDT,DOGE-USD,0
32,USDT-USD,DOT-USDT,DOT-USD,0
33,USDT-USD,ENJ-USDT,ENJ-USD,0
34,USDT-USD,EOS-USDT,EOS-USD,0
35,USDT-USD,ETC-USDT,ETC-USD,0
36,USDT-USD,ETHBEAR-USDT,ETHBEAR-USD,0
37,USDT-USD,ETHBULL-USDT,ETHBULL-USD,0
38,USDT-USD,FB-USDT,FB-USD,0
39,USDT-USD,FIL-USDT,FIL-USD,0
